"date","ccaa","province","new_cases","cases_accumulated","pcr","TestAc","cases_accumulated_pcr","Muestras.TestAc","muestras_totales","IA14","deceased","fallec_diarios","intensive_care","hospitalized","ocu_UCI_covid","ocu_hospi_covid","ocu_UCI_total","ocu_hospi_total","altas24h_total_covid","source_name","source","comments"
"2020-02-29","Asturias, Principado de","Asturias",1,1,1,0,1,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-01","Asturias, Principado de","Asturias",0,1,0,0,1,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-02","Asturias, Principado de","Asturias",0,1,0,0,1,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-03","Asturias, Principado de","Asturias",2,3,2,0,3,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-04","Asturias, Principado de","Asturias",2,5,2,0,5,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-05","Asturias, Principado de","Asturias",0,5,0,0,5,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-06","Asturias, Principado de","Asturias",3,8,3,0,8,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-07","Asturias, Principado de","Asturias",1,9,1,0,9,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-08","Asturias, Principado de","Asturias",2,11,2,0,11,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-09","Asturias, Principado de","Asturias",5,16,5,0,16,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-10","Asturias, Principado de","Asturias",17,33,17,0,33,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-11","Asturias, Principado de","Asturias",5,38,5,0,38,0,NA,0,0,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-12","Asturias, Principado de","Asturias",3,41,3,0,41,0,NA,0,1,1,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
"2020-03-13","Asturias, Principado de","Asturias",46,87,46,0,87,0,NA,0,1,0,NA,NA,NA,NA,NA,NA,NA,"Dados de Laplace","https://dgspasturias.shinyapps.io/panel_de_indicadores_asturias/",NA
